product_id,sku,product_name,brand,category,sub_category,department,base_price_usd,cost_price_usd,gross_margin_pct,weight_kg,is_available,stock_quantity,reorder_level,supplier_name,supplier_country,warranty_years,rating_avg,review_count,launched_date,product_url
2001,SKU-2001-7938,Wireless Bluetooth Headphones,SoundPro,Electronics,Audio,Technology,$149.99,66.91,55.4,22.17,O,122,45,Tech Central Partners,Mexico,0,4.2,753,21-07-2023,https://shop.example.com/products/2001
2002,SKU-2002-4412,Smart LED TV 55-inch,VisionMax,Electronics,Television,Technology,699.99,298.38,57.4,23.66,No,370,29,Prime Silver Enterprises,Bangladesh,1,4.9,3431,10/06/2020,https://shop.example.com/products/2002
2003,SKU-2003-8028,Laptop 15.6 inch Core i7,TechBook,Electronics,Computers,Technology,1249.99,645.70,48.3,21.83,Di,424,25,United Horizon Services,India,0,2.6,3774,18/11/2020,https://shop.example.com/products/2003
2004,SKU-2004-5125,USB-C Fast Charger 65W,ChargeTech,Electronics,Accessories,Technology,34.99,12.29,64.9,12.75,A,353,39,Prime Red Ltd,China,0,2.6,2503,02-09-2015,https://shop.example.com/products/2004
2005,SKU-2005-4228,Mechanical Gaming Keyboard,GameGear,Electronics,PERIPHERALS,Technology,$89.99,53.87,40.1,0.89,O,,34,Summit Allied Co,Taiwan,0,4.8,1162,14-08-2021,https://shop.example.com/products/2005
2006,SKU-2006-7909,4K Webcam 1080p,ClearView,electronics,peripherals,Technology,$79.99,33.39,58.3,19.73,N,346,49,Silver Future Partners,China,0,,1515,21-01-2016,https://shop.example.com/products/2006
2007,SKU-2007-6416,Portable Bluetooth Speaker,SoundPro,Electronics,Audio,Technology,$59.99,24.14,59.8,5.75,Y,336,6,National Apex Solutions,Mexico,3,2.9,3774,"September 02, 2016",https://shop.example.com/products/2007
2008,SKU-2008-6735,Smartwatch Fitness Tracker,FitTech,electronics,Wearables,Technology,199.99,91.70,54.1,16.92,Ye,,43,Summit Future Group,USA,1,,3904,31-05-2018,https://shop.example.com/products/2008
2009,SKU-2009-2763,Noise Cancelling Earbuds,SoundPro,electronics,Audio,Technology,129.99,$72.43,44.3,7.89,D,431,10,Future Alpha Associates,Vietnam,3,3.7,1366,2017-11-20,https://shop.example.com/products/2009
2010,SKU-2010-1970,External SSD 1TB,DataDrive,Electronics,storage,Technology,119.99,$47.21,60.7,10.67,O,,20,United Blue Industries,Vietnam,0,3.6,485,"May 14, 2015",https://shop.example.com/products/2010
2011,SKU-2011-2637,Running Shoes Men Size 10,StridePro,Footwear,Athletic,Apparel & Sports,89.99,38.92,56.8,15.43,T,423,40,Elite Allied Corp,China,0,3.8,740,04/17/2022,https://shop.example.com/products/2011
2012,SKU-2012-5183,Women's Yoga Pants,FlexFit,Clothing,Activewear,Apparel & Sports,$49.99,18.21,63.6,9.3,N,238,44,Alpha Pacific Co,USA,0,4.3,198,19-01-2022,https://shop.example.com/products/2012
2013,SKU-2013-3568,Men's Casual Polo Shirt,UrbanStyle,Clothing,Tops,Apparel & Sports,34.99,13.94,60.2,2.22,D,,14,Smart Horizon Partners,USA,2,4.8,3193,2018/10/23,https://shop.example.com/products/2013
2014,SKU-2014-3549,Women's Winter Jacket,WarmWear,Clothing,Outerwear,Apparel & Sports,$129.99,47.58,63.4,11.35,T,460,25,Summit United LLC,Taiwan,0,4.2,3965,21-04-2015,https://shop.example.com/products/2014
2015,SKU-2015-4219,Kids Soccer Cleats,KickStart,Footwear,Athletic,Apparel & Sports,$44.99,$17.29,61.6,12.89,Y,3,46,Metro Central Inc,Bangladesh,2,4.5,4049,05/21/2015,https://shop.example.com/products/2015
2016,SKU-2016-5459,Denim Jeans Slim Fit,DenimCo,Clothing,Bottoms,Apparel & Sports,$64.99,34.85,46.4,7.81,TR,347,45,Silver Global Corp,USA,1,4.3,3473,2016-01-30,https://shop.example.com/products/2016
2017,SKU-2017-5600,Sports Backpack 30L,PackPro,bags,Backpacks,Apparel & Sports,54.99,$20.28,63.1,6.17,N,50,47,Allied Future Corp,Germany,0,4.5,4507,"Sep 07, 2022",https://shop.example.com/products/2017
2018,SKU-2018-2408,Baseball Cap Adjustable,CapStyle,Clothing,Headwear,Apparel & Sports,24.99,9.23,63.1,18.83,T,,37,Pacific United LLC,Mexico,2,3.7,,12/19/2018,https://shop.example.com/products/2018
2019,SKU-2019-9734,Gym Gloves Workout,FlexFit,Clothing,Accessories,Apparel & Sports,19.99,7.40,63.0,17.5,1,270,12,Premier Global Solutions,USA,1,3.2,2963,28/01/2019,https://shop.example.com/products/2019
2020,SKU-2020-8195,Athletic Crew Socks 6-Pack,ComfortStep,Clothing,socks,Apparel & Sports,14.99,7.52,49.8,3.63,Y,345,31,Pacific Silver Group,Germany,3,3.6,3283,28/04/2023,https://shop.example.com/products/2020
2021,SKU-2021-9597,Stainless Steel Cookware Set 10pc,ChefSelect,Kitchen,Cookware,Home & Garden,249.99,$135.30,45.9,9.6,Y,111,50,Metro Allied Ltd,Mexico,2,,2434,04/11/2019,https://shop.example.com/products/2021
2022,SKU-2022-5885,Coffee Maker 12-Cup,BrewMaster,Kitchen,appliances,Home & Garden,$79.99,37.88,52.6,5.2,N,57,39,Horizon Tech Co,Bangladesh,0,4.7,,22/10/2017,https://shop.example.com/products/2022
2023,SKU-2023-1048,Air Fryer 5.8 Quart,AirCook,  Kitchen ,Appliances,Home & Garden,$99.99,42.83,57.2,13.51,D,471,30,Elite Pacific Holdings,India,2,4.6,4723,05/17/2023,https://shop.example.com/products/2023
2024,SKU-2024-5329,Non-Stick Pan Set 3-Piece,ChefSelect,  Kitchen ,  Cookware ,Home & Garden,$69.99,38.14,45.5,17.7,1,41,15,Prime Premier Partners,Germany,1,2.9,4248,"December 25, 2015",https://shop.example.com/products/2024
2025,SKU-2025-9530,Blender High Performance,BlendPro,Kitchen,Appliances,Home & Garden,129.99,49.21,62.1,17.44,D,297,44,Pacific Next Inc,China,0,2.9,872,28-03-2016,https://shop.example.com/products/2025
2026,SKU-2026-1154,Cutting Board Set Bamboo,NaturalChef,kitchen,Utensils,Home & Garden,29.99,14.59,51.4,10.29,N,124,31,Gold Atlantic Group,India,3,2.7,3002,2020/01/12,https://shop.example.com/products/2026
2027,SKU-2027-4461,Instant Pot 8 Quart,PressurePlus,Kitchen,Appliances,Home & Garden,129.99,51.28,60.6,21.68,O,454,30,Atlantic Premier Enterprises,Germany,2,2.6,106,11/10/2019,https://shop.example.com/products/2027
2028,SKU-2028-2259,Wine Glass Set 12-Piece,ClearGlass,Kitchen,Drinkware,Home & Garden,39.99,17.48,56.3,19.9,N,386,24,Smart Summit LLC,China,0,3.7,2926,"March 02, 2019",https://shop.example.com/products/2028
2029,SKU-2029-3026,Knife Set 15-Piece,BladeEdge,Kitchen,Cutlery,Home & Garden,$149.99,81.61,45.6,12.64,T,78,25,Gold Smart Enterprises,Vietnam,0,3.6,4916,24-01-2017,https://shop.example.com/products/2029
2030,SKU-2030-4078,Stand Mixer 5 Quart,BakePro,Kitchen,Appliances,Home & Garden,349.99,$171.29,51.1,21.97,I,292,27,Next Blue Solutions,Mexico,0,4.6,4545,2017-08-15,https://shop.example.com/products/2030
2031,SKU-2031-6532,Yoga Mat Non-Slip,ZenFit,SPORTS,Exercise,Fitness & Outdoors,39.99,17.14,57.1,5.52,O,338,42,Global Prime Ltd,Taiwan,0,4.1,263,"May 27, 2023",https://shop.example.com/products/2031
2032,SKU-2032-9326,Resistance Bands Set 5-Pack,StrongBand,Sports,Exercise,Fitness & Outdoors,$24.99,12.53,49.9,4.48,T,240,32,Premier Metro Solutions,Taiwan,0,3.7,3922,04-12-2022,https://shop.example.com/products/2032
2033,SKU-2033-9605,Adjustable Dumbbells 50lb,IronFlex,Sports,weights,Fitness & Outdoors,299.99,178.09,40.6,17.69,T,31,20,Summit Red Corp,Germany,2,3.1,,2021-02-07,https://shop.example.com/products/2033
2034,SKU-2034-5579,Camping Tent 4-Person,WildCamp,Sports,  Camping ,Fitness & Outdoors,$189.99,97.31,48.8,7.82,No,224,49,Blue Summit Co,USA,0,4.2,533,03-09-2019,https://shop.example.com/products/2034
2035,SKU-2035-6241,Hiking Boots Waterproof,TrailBoss,Footwear,Outdoor,Fitness & Outdoors,139.99,49.28,64.8,20.09,N,47,44,Red Premier Co,China,1,4.8,623,2023-09-30,https://shop.example.com/products/2035
2036,SKU-2036-8868,Foam Roller 18-inch,RollRelief,Sports,Recovery,Fitness & Outdoors,29.99,10.70,64.3,5.07,O,216,15,Pacific Gold Holdings,Vietnam,0,3.1,4658,"Sep 25, 2015",https://shop.example.com/products/2036
2037,SKU-2037-3077,Jump Rope Speed,JumpPro,SPORTS,Exercise,Fitness & Outdoors,$14.99,8.33,44.4,19.58,1,217,37,Horizon Prime Partners,India,0,3.5,2456,"January 15, 2021",https://shop.example.com/products/2037
2038,SKU-2038-9318,Water Bottle 32oz Insulated,HydroFlow,Sports,Hydration,Fitness & Outdoors,34.99,14.26,59.2,6.03,N,372,29,Horizon Central Group,Germany,1,,2203,"March 30, 2015",https://shop.example.com/products/2038
2039,SKU-2039-1135,Trekking Poles Adjustable,TrailBoss,Sports,Camping,Fitness & Outdoors,$59.99,33.92,43.5,4.16,O,216,18,Allied Next Industries,Vietnam,1,2.7,3316,25/11/2017,https://shop.example.com/products/2039
2040,SKU-2040-5501,Sleeping Bag -20F,WildCamp,Sports,Camping,Fitness & Outdoors,89.99,34.30,61.9,13.78,O,341,32,Horizon Tech Inc,Bangladesh,1,4.0,2115,"Aug 01, 2019",https://shop.example.com/products/2040
2041,SKU-2041-1431,Vitamin C 1000mg 90 Tablets,VitaCore,health,Vitamins,Health & Beauty,19.99,$7.53,62.3,17.54,In,52,35,Next Tech Enterprises,Vietnam,1,3.6,,"March 01, 2023",https://shop.example.com/products/2041
2042,SKU-2042-7028,Protein Powder Whey 5lb,MuscleFuel,Health,Supplements,Health & Beauty,54.99,25.05,54.4,0.6,A,,22,Premier Pacific Solutions,Vietnam,3,4.8,3350,"December 07, 2022",https://shop.example.com/products/2042
2043,SKU-2043-8727,Moisturizing Face Cream SPF30,GlowSkin,Beauty,Skincare,Health & Beauty,29.99,16.43,45.2,5.81,1,410,24,Gold Red Inc,China,3,,1971,30/11/2022,https://shop.example.com/products/2043
2044,SKU-2044-5710,Electric Toothbrush Rechargeable,SmileBright,health,Oral Care,Health & Beauty,49.99,22.84,54.3,4.39,A,444,29,Pacific Red Industries,India,0,3.8,,2015/11/22,https://shop.example.com/products/2044
2045,SKU-2045-9252,Hair Dryer Professional,StylePro,Beauty,Hair Care,Health & Beauty,69.99,$37.87,45.9,11.04,D,268,35,Elite Pacific Holdings,China,0,3.5,422,20/05/2023,https://shop.example.com/products/2045
2046,SKU-2046-2719,Multivitamin Daily 120ct,VitaCore,Health,Vitamins,Health & Beauty,24.99,10.09,59.6,7.67,1,225,10,Red Horizon Partners,Taiwan,2,4.6,3674,23/05/2016,https://shop.example.com/products/2046
2047,SKU-2047-1674,Sunscreen SPF 50 Spray,SunGuard,Health,Skincare,Health & Beauty,16.99,7.23,57.4,21.67,I,309,36,Metro Metro Enterprises,Mexico,3,3.7,3066,03-09-2022,https://shop.example.com/products/2047
2048,SKU-2048-1450,Face Wash Gentle Cleanser,GlowSkin,Beauty,Skincare,Health & Beauty,12.99,6.66,48.7,23.53,D,214,23,United Smart Group,China,0,,3932,2018-12-23,https://shop.example.com/products/2048
2049,SKU-2049-4407,Shampoo Argan Oil 16oz,StylePro,BEAUTY,Hair Care,Health & Beauty,$14.99,6.40,57.3,11.18,Y,23,22,Horizon Red LLC,China,3,3.5,4147,09-05-2023,https://shop.example.com/products/2049
2050,SKU-2050-7743,Digital Bathroom Scale,HealthTrack,Health,Wellness,Health & Beauty,39.99,$21.22,46.9,8.65,Y,18,6,United Gold Partners,USA,0,2.6,2520,"Jun 14, 2023",https://shop.example.com/products/2050
2051,SKU-2051-9972,Hardcover Notebook A5,PaperCraft,Office,Stationery,Books & Office,$12.99,5.72,56.0,10.59,In,403,30,National Prime Associates,Bangladesh,0,3.3,3675,"January 16, 2016",https://shop.example.com/products/2051
2052,SKU-2052-7281,Ballpoint Pens 12-Pack,InkFlow,OFFICE,Stationery,Books & Office,8.99,$4.59,48.9,16.23,Ou,364,30,United Central Partners,Vietnam,1,,555,"Nov 03, 2016",https://shop.example.com/products/2052
2053,SKU-2053-5558,Desk Organizer Bamboo,OfficePro,Office,ACCESSORIES,Books & Office,24.99,10.20,59.2,5.87,O,89,9,Summit Elite Associates,Mexico,0,3.4,722,2019-03-21,https://shop.example.com/products/2053
2054,SKU-2054-5278,Stapler Heavy Duty,BindRight,office,Accessories,Books & Office,19.99,8.54,57.3,7.76,1,310,11,Alpha Horizon Industries,China,2,4.7,1850,"May 23, 2020",https://shop.example.com/products/2054
2055,SKU-2055-5955,Sticky Notes 12-Pack,PostIt,Office,Stationery,Books & Office,$9.99,$4.06,59.4,9.0,T,39,17,National Allied Associates,China,0,3.4,2191,2019/09/10,https://shop.example.com/products/2055
2056,SKU-2056-6371,Mechanical Pencil Set,DrawLine,Office,Stationery,Books & Office,14.99,6.44,57.0,20.39,Ou,361,9,Silver Horizon Holdings,Germany,1,4.9,4250,29/03/2016,https://shop.example.com/products/2056
2057,SKU-2057-9974,Wireless Mouse Ergonomic,ClickEase,Office,Peripherals,Books & Office,39.99,18.60,53.5,18.97,Y,491,21,Summit Horizon Industries,Bangladesh,0,3.1,1417,2016-10-05,https://shop.example.com/products/2057
2058,SKU-2058-2037,Desk Lamp LED Adjustable,LumLight,Office,Lighting,Books & Office,44.99,$23.50,47.8,21.92,T,151,10,Elite Metro Associates,India,0,2.7,2919,2015-08-10,https://shop.example.com/products/2058
2059,SKU-2059-2635,Folder Organizer 10-Pack,FilePro,OFFICE,filing,Books & Office,12.99,5.59,57.0,1.07,A,281,25,Global Red Co,Vietnam,1,3.5,3540,22-12-2023,https://shop.example.com/products/2059
2060,SKU-2060-5372,Whiteboard 24x36,WriteOn,Office,Presentation,Books & Office,49.99,$21.56,56.9,22.17,N,478,11,Premier Allied Associates,China,1,4.9,3132,"Apr 08, 2019",https://shop.example.com/products/2060
2061,SKU-2061-9248,Action Figure Collector Series,HeroPlay,Toys,Action Figures,Toys & Games,24.99,$12.59,49.6,0.53,Y,255,45,Smart United Partners,Bangladesh,0,4.1,4656,2016-08-21,https://shop.example.com/products/2061
2062,SKU-2062-6656,Board Game Strategy 2-6 Players,GameNight,toys,BOARD GAMES,Toys & Games,39.99,$19.29,51.8,15.82,N,389,45,Central Elite Services,Taiwan,0,4.3,,"Mar 28, 2022",https://shop.example.com/products/2062
2063,SKU-2063-6728,LEGO Building Set 500pcs,BrickWorld,Toys,Building,Toys & Games,$59.99,27.94,53.4,21.15,Y,262,46,Allied Gold Holdings,China,2,4.8,4227,2019-04-06,https://shop.example.com/products/2063
2064,SKU-2064-6588,Remote Control Car Racing,SpeedKing,Toys,RC Vehicles,Toys & Games,$49.99,21.10,57.8,0.81,N,324,42,Summit Blue Inc,Vietnam,1,3.5,,13-05-2019,https://shop.example.com/products/2064
2065,SKU-2065-4893,Puzzle 1000 Pieces Landscape,MindBuilder,Toys,Puzzles,Toys & Games,$19.99,10.13,49.3,8.93,Y,65,13,Apex Alpha Industries,China,0,5.0,1585,07-02-2015,https://shop.example.com/products/2065
