snapshot_date,product_id,product_name,sku,category,stock_on_hand,stock_reserved,stock_available,reorder_level,unit_cost,unit_price,inventory_value,warehouse_location,store_id
29-09-2020,2001,Wireless Bluetooth Headphones,SKU-2001-7938,Electronics,175,21,,45,$66.91,149.99,,WH-C2,3009
"September 29, 2020",2002,Smart LED TV 55-inch,SKU-2002-4412,Electronics,191,15,,29,298.38,699.99,,WH-B2,
29/09/2020,2003,Laptop 15.6 inch Core i7,SKU-2003-8028,Electronics,351,11,,25,645.70,1249.99,,WH-C1,3035
29/09/2020,2004,USB-C Fast Charger 65W,SKU-2004-5125,Electronics,11,12,,39,12.29,34.99,,wh-b1,3045
29/09/2020,2005,Mechanical Gaming Keyboard,SKU-2005-4228,Electronics,151,22,,34,53.87,89.99,,WH-C1,3033
29/09/2020,2006,4K Webcam 1080p,SKU-2006-7909,electronics,43,50,,49,$33.39,79.99,,wh-b1,3029
"Sep 29, 2020",2007,Portable Bluetooth Speaker,SKU-2007-6416,Electronics,335,22,,6,24.14,59.99,,WH-B1,3017
29/09/2020,2008,Smartwatch Fitness Tracker,SKU-2008-6735,electronics,393,46,,43,91.70,$199.99,,WH-A2,3042
2020-09-29,2009,Noise Cancelling Earbuds,SKU-2009-2763,electronics,431,25,,10,72.43,$129.99,,WH-A1,3050
2020/09/29,2010,External SSD 1TB,SKU-2010-1970,Electronics,364,33,,20,47.21,119.99,,WH-B1,3033
09/29/2020,2011,Running Shoes Men Size 10,SKU-2011-2637,Footwear,297,30,,40,$38.92,89.99,,WH-C2,
"September 29, 2020",2012,Women's Yoga Pants,SKU-2012-5183,Clothing,196,19,,44,18.21,49.99,,WH-C2,
29/09/2020,2013,Men's Casual Polo Shirt,SKU-2013-3568,Clothing,269,3,,14,13.94,34.99,,WH-C1,3025
"Sep 29, 2020",2014,Women's Winter Jacket,SKU-2014-3549,Clothing,500,7,,25,47.58,129.99,,WH-C2,
"Sep 29, 2020",2015,Kids Soccer Cleats,SKU-2015-4219,Footwear,461,39,,46,$17.29,44.99,,WH-C2,3019
