store_id,store_name,store_type,address,city,state,state_full,zip_code,country,region,district,phone,manager_name,opened_date,sq_footage,num_employees,annual_rent_usd,is_active,has_parking,has_cafe
3001,North Gate Express,Standard,4395 Market St,Baltimore,Maryland,Maryland,19429,US,Northeast,District-10,6126519673,Jeffrey Walker,2021-03-17,2632,77,138289,Active,FALSE,1
3002,Downtown Hub Flagship,Outlet,3141 Oak Ave Apt 48,Jacksonville,FL,Florida,72311,United States,South,District-3,736-487-9871,Michelle Foster,"November 13, 2019",6485,66,230052,1,TRUE,Y
3003,Parkway Pop-Up,Express,7142 High St,Colorado Springs,Colorado,Colorado,93069,United States,West,District-4,(507) 766-1082,Brian Lewis,"Nov 03, 2014",8930,52,446578,1,No,0
3004,City Center Express,Express,4280 Lake Dr,Fresno,CA,California,42118,United States,West,District-7,696-473-7601,Angela Moore,"Jan 29, 2006",11903,100,138113,1,FALSE,Yes
3005,Grand Avenue Flagship,Flagship,9819 Broadway Apt 34,Cleveland,Ohio,Ohio,55747,US,Midwest,District-9,573-955-1697,David Rivera,"Mar 14, 2012",22266,112,374121,Yes,TRUE,N
3006,Parkway Outlet,Outlet,5574 River Rd,Los Angeles,CA,California,30803,US,West,District-6,607.689.9388,Andrew Myers,2013-11-14,15608,76,349558,Y,No,Yes
3007,Parkway Pop-Up,Pop-Up,1640 Market St,Philadelphia,PA,Pennsylvania,59105,US,NORTHEAST,District-10,893.904.5543,Richard Flores,2018/07/20,6413,48,138007,Y,No,Yes
3008,Lakefront Standard,Pop-Up,4007 School Rd,Cleveland,OH,Ohio,84758,US,Midwest,District-6,(796) 237-8887,Timothy Adams,"Oct 19, 2011",21078,38,370075,Yes,FALSE,Yes
3009,Midtown Outlet,Pop-Up,7713 Mill Rd,Charlotte,NC,North Carolina,63808,United States,  South ,District-10,+14729861880,Rebecca Ruiz,29-05-2010,4688,49,140367,Active,TRUE,No
3010,City Center Flagship,Flagship,1799 Cedar Blvd,Albuquerque,New Mexico,New Mexico,70600,US,West,District-5,446.879.2175,Patrick Morgan,11/07/2015,6667,50,221513,1,TRUE,Yes
3011,North Gate Flagship,Standard,5614 Lake Dr,Memphis,Tennessee,Tennessee,73936,US,SOUTH,District-9,+15368647129,Sandra Richardson,03-12-2019,5969,35,481256,Yes,TRUE,Yes
3012,South Park Pop-Up,Flagship,9537 Forest Ln,Portland,OR,Oregon,73936,US,west,District-7,6122453545,Tyler King,"Feb 02, 2019",4852,104,131406,1,N,N
3013,Uptown Express,Outlet,31 Hill Rd Apt 7,Columbus,OH,Ohio,87712,US,midwest,District-8,885-804-9014,Donna Thomas,21-06-2017,24384,45,329843,Active,Y,1
3014,Highland Express,Express,6594 Oak Ave Apt 2,Columbus,OH,Ohio,60895,USA,MIDWEST,District-8,(556) 830-1511,Heather Wilson,"Oct 31, 2014",2155,54,271178,Active,TRUE,Y
3015,Lakefront Outlet,Pop-Up,2918 School Rd,Fresno,California,California,62149,United States,West,District-4,+18807627950,Rebecca Gray,10-08-2010,7486,106,254624,1,N,Yes
3016,Uptown Pop-Up,Pop-Up,6677 Oak Ave,Boston,MA,Massachusetts,27411,United States,Northeast,District-4,436-553-2744,Frank Smith,02-09-2006,7211,11,346460,1,Yes,N
3017,Parkway Express,Pop-Up,3715 Sunset Dr,Fresno,California,California,39493,US,West,District-8,9872645391,Robert Sanchez,2020/10/12,22874,6,378228,Y,No,0
3018,Midtown Express,Outlet,5977 Union St,Charlotte,NC,North Carolina,13301,United States,South,District-7,4429468714,Kimberly Price,2022/06/17,3238,23,494705,1,No,1
